A37OKOWUR84RKR  |  {HB}SharkMan  |  the ocean of Oblivion  |  Reviewer ranking: #29,994,513  |  34%  |  (358 of 1,063)  |  
A1Z2SKCKFP51C7  |  S. McMillen  |  Indiana  |  Reviewer ranking: #2,352,116  |  71%  |  (25 of 35)  |  
A3K59NXYZR1AY5  |  Erzsebet Bathory  |  London, England  |  Reviewer ranking: #29,844,494  |  80%  |  (4 of 5)  |  
A13706H27ZEVZ  |  Dr. W.O'Boogie  |  _  |  Reviewer ranking: #24,813,399  |  100%  |  (1 of 1)  |  
A2VODABWSVHV8E  |  Ray  |  _  |  _  |  95%  |  (4,993 of 5,234)  |  
A2Z5WEA0KOMN9G  |  Ken Bailey  |  Ypsilanti, MI United States  |  Reviewer ranking: #3,000,176  |  65%  |  (596 of 918)  |  
A1OEV2NKRD59M4  |  Anthony Yandow  |  St. Albans, VT United States  |  Reviewer ranking: #1,860,511  |  81%  |  (105 of 129)  |  
AL86B3NMVMLK0  |  Crystal M.  |  _  |  Reviewer ranking: #24,100,460  |  _  |  _  |  
AW01A0YYB65OA  |  Mercedes Espinoza  |  AZ  |  Reviewer ranking: #26,029,742  |  _  |  _  |  
A194J723VVAIKY  |  Bob from VA  |  Northern VA, USA  |  Reviewer ranking: #478,828  |  51%  |  (101 of 199)  |  
A2ZZYF299PS8FJ  |  J. Mcadams  |  Kingston, NJ United States  |  Reviewer ranking: #29,324,697  |  29%  |  (63 of 220)  |  
A18AOQDXHHP51Z  |  Molly Remer  |  Missouri  |  Reviewer ranking: #574,237  |  89%  |  (351 of 393)  |  
AFCHKLM4OIFU  |  Suz  |  Missouri  |  _  |  92%  |  (214 of 233)  |  
A3LU79BYMWZEW9  |  Gregor von Kallahann  |  _  |  _  |  84%  |  (5,679 of 6,737)  |  
A1N3BYJXYY6EXL  |  Tonz82  |  USA  |  Reviewer ranking: #26,485,027  |  71%  |  (27 of 38)  |  
A11BLHGS0A2LMQ  |  bhende@health.missouri.edu  |  Missouri, United States  |  Reviewer ranking: #27,968,522  |  83%  |  (40 of 48)  |  
A3HL7C16U6HTFM  |  O. A. Martinez  |  Miami, Fl  |  Reviewer ranking: #24,302,318  |  40%  |  (4 of 10)  |  
A279K2NCJP9KHW  |  JD Aeon  |  LGBTQ Pagan Wiccan LIFE COACH - Independent Writer - Astrologer - Norse Runes Teacher - Pagan Witchcraft / Wicca Teacher - Holistic Occultist -  in Pennsylvania, US  |  Reviewer ranking: #5,812,455  |  54%  |  (7 of 13)  |  
A1856MKA5M0EI3  |  basementgirl  |  _  |  Reviewer ranking: #25,470,508  |  _  |  _  |  
A2M6UJZ87S2UJ2  |  Keith A. Cautrell  |  Festus, MO USA  |  Reviewer ranking: #10,730,622  |  69%  |  (9 of 13)  |  
ANM2DSMRN92G3  |  C. Zeveney  |  El Paso, TX  |  Reviewer ranking: #826,131  |  88%  |  (77 of 88)  |  
A3GV0AXTBJWUG7  |  Vincent E. Smith  |  _  |  Reviewer ranking: #26,174,526  |  50%  |  (1 of 2)  |  
A3EPHBMU07LZ50  |  Amazon Customer  |  _  |  _  |  94%  |  (7,487 of 7,969)  |  
A22GOYVZCSD5UR  |  Vonda Guidry  |  _  |  Reviewer ranking: #26,129,929  |  0%  |  (0 of 1)  |  
A160F6VXGUC5V4  |  Jason Weyandt  |  Space: The Final Frontier  |  Reviewer ranking: #26,644,613  |  45%  |  (61 of 137)  |  
A2KN12YR66KFSN  |  Angela  |  Ar  |  Reviewer ranking: #25,599,108  |  _  |  _  |  
A2DLH2L00JK3NJ  |  J. Doyle  |  Orange County, California  |  _  |  89%  |  (153 of 172)  |  
A3C1JVFGOIZ7LY  |  SteveInFrisco  |  Frisco, TX, USA  |  Reviewer ranking: #611,649  |  64%  |  (44 of 69)  |  
A22YUPG7X474I2  |  John H. Eickhoff  |  _  |  _  |  76%  |  (539 of 711)  |  
AQR2XU3HEXDVZ  |  Dr. Emily Kurtz  |  New York, NY  |  Reviewer ranking: #129,184  |  74%  |  (211 of 284)  |  
A1403840HDGP7H  |  G. Flynn  |  USA  |  Reviewer ranking: #29,086,681  |  56%  |  (107 of 192)  |  
AARUYE130LY8W  |  Paul D. Race  |  Springfield, OH United States  |  _  |  90%  |  (728 of 806)  |  
A12AIMY6BFQU1J  |  Nikki  |  _  |  Reviewer ranking: #4,964,867  |  78%  |  (7 of 9)  |  
AKRZPFJEQQQOH  |  Rex Boyce  |  Birmingham, MI United States  |  Reviewer ranking: #151,868  |  89%  |  (108 of 122)  |  
A1RX14I0N5I7MZ  |  cinemakid  |  Phoenix, AZ  |  Reviewer ranking: #4,811,545  |  75%  |  (9 of 12)  |  
A2Z4UKRMPDUJDZ  |  Charles F. Held Jr.  |  Charlotte, NC United States  |  Reviewer ranking: #527,659  |  69%  |  (400 of 580)  |  
A2MBEDF4PB56E  |  Will A. Nugent  |  Tampa,fla;the beautiful city by the bay  |  Reviewer ranking: #367,779  |  88%  |  (274 of 312)  |  
AX4HQI7A7DF1W  |  Michael Goll  |  Monument, CO.  |  Reviewer ranking: #1,486,807  |  90%  |  (52 of 58)  |  
A2RD0B8LLOSMCQ  |  Christian Lehrer  |  Bay Point, CA  |  Reviewer ranking: #17,094,063  |  82%  |  (436 of 529)  |  
A2CKJ6RSM4QXGH  |  chuck  |  bummertown washington  |  Reviewer ranking: #28,262,397  |  100%  |  (2 of 2)  |  
A276ZRWFAKRTWP  |  J. Hofmann  |  _  |  Reviewer ranking: #14,530,318  |  90%  |  (19 of 21)  |  
A1LP6O85Z894GT  |  J. Remington  |  Adams, Oregon USA  |  Reviewer ranking: #278,104  |  86%  |  (2,907 of 3,386)  |  
A26B4V1JLOC81D  |  LeeAnn Hawkins  |  _  |  Reviewer ranking: #29,507,484  |  45%  |  (18 of 40)  |  
A2BOM1V0R3ZWWS  |  B. Poulson  |  UT USA  |  Reviewer ranking: #10,157,043  |  44%  |  (8 of 18)  |  
A1YXGVAKHLCL26  |  CryWolf854  |  Kentucky  |  _  |  65%  |  (211 of 323)  |  
A308S2QY4PX26A  |  jefxhoy  |  FL.,USA  |  Reviewer ranking: #30,236,931  |  20%  |  (29 of 145)  |  
AUQRL14CB5UX9  |  Katz  |  _  |  Reviewer ranking: #2,838,770  |  92%  |  (45 of 49)  |  
A2Y70AOI3NG37J  |  S. Koropeckyj  |  The Bright Side of the Moon  |  Reviewer ranking: #4,367,064  |  63%  |  (614 of 979)  |  
A3W2ES4B9C5V3A  |  Bryan  |  _  |  Reviewer ranking: #909,398  |  62%  |  (140 of 227)  |  
A2WL5WKFXI6R1Z  |  XenaHercules  |  Athol, Idaho USA  |  Reviewer ranking: #28,111,066  |  22%  |  (2 of 9)  |  
A2J6FA84PKE1F  |  R. Orvosh  |  Pittsburgh, PA  |  Reviewer ranking: #29,059,128  |  47%  |  (16 of 34)  |  
A2Z395B3792KE7  |  Lawrence J. Hein  |  Wichita Falls Texas  |  Reviewer ranking: #18,330,331  |  10%  |  (1 of 10)  |  
A2XC2C2UJE4MC8  |  M. Persic  |  Chicago  |  Reviewer ranking: #3,244,753  |  66%  |  (63 of 96)  |  
A3LQVGUT378BMC  |  Vinyl Spin  |  CT,USA  |  Reviewer ranking: #29,525,532  |  54%  |  (102 of 190)  |  
A231K716D7POU3  |  Hank Napkin  |  Makawao, Hawaii United States  |  _  |  85%  |  (4,111 of 4,838)  |  
AB7GZRGWFIDGH  |  W. Mullen  |  Atlanta, GA USA  |  Reviewer ranking: #23,575,684  |  40%  |  (32 of 81)  |  
A3QNTSS1R888HI  |  Howard R. Sewell  |  _  |  Reviewer ranking: #6,447,812  |  25%  |  (13 of 53)  |  
A2O6A5YV8R4GL6  |  Faithless Street  |  Austin  |  Reviewer ranking: #23,865,480  |  68%  |  (160 of 235)  |  
A35I08Q851LQ2G  |  Pera Kivi  |  _  |  Reviewer ranking: #950,780  |  58%  |  (79 of 137)  |  
A2XW9PJOQDQRZ0  |  Perry Black  |  under your desk  |  Reviewer ranking: #16,342,066  |  82%  |  (163 of 200)  |  
A2463YGQ90DA84  |  Lan D  |  Houston, TX United States  |  Reviewer ranking: #931,104  |  52%  |  (160 of 305)  |  
A1JYNBQ49851L9  |  G. Albert  |  _  |  Reviewer ranking: #27,218,363  |  85%  |  (28 of 33)  |  
A2ZTNERO3FWDGN  |  TheKillerAnna  |  MO  |  Reviewer ranking: #582,884  |  62%  |  (56 of 90)  |  
A3001S953IZJDF  |  Ohio Reader  |  Northeastern Ohio  |  Reviewer ranking: #26,604,490  |  80%  |  (8 of 10)  |  
AIQWKFR448VR2  |  Emma  |  USA  |  Reviewer ranking: #3,763,520  |  75%  |  (45 of 60)  |  
A3I6AG63A56TQV  |  Mr. R. O. Jarvis  |  Mallorca,  SPAIN  |  Reviewer ranking: #25,461,776  |  90%  |  (53 of 59)  |  
A3MB8RQ988YAGX  |  Mr. Robert Matthew Bowers  |  Gold Coast Austalia  |  Reviewer ranking: #2,991,416  |  52%  |  (51 of 98)  |  
A3F05PSKGBPWIO  |  Senella Clinch  |  Miami, florida  |  Reviewer ranking: #4,832,759  |  83%  |  (5 of 6)  |  
A2L8LA6R263O19  |  Example: Mark Twain  |  _  |  Reviewer ranking: #26,980,133  |  73%  |  (24 of 33)  |  
A2IZHS56N6FRHK  |  George Zadorozny  |  _  |  Reviewer ranking: #27,316,597  |  86%  |  (6 of 7)  |  
A52K5AMU75AMH  |  R. D. L.C  |  _  |  Reviewer ranking: #550,938  |  59%  |  (16 of 27)  |  
A12YYBFGONUSE1  |  P. Hutchins  |  _  |  Reviewer ranking: #25,620,886  |  0%  |  (0 of 3)  |  
A27CFNHYZG6WS8  |  darragh o'donoghue  |  _  |  Reviewer ranking: #2,481,292  |  75%  |  (8,082 of 10,775)  |  
A2JFH8MRJ97PN8  |  The Doogster  |  Australia  |  Reviewer ranking: #771,636  |  63%  |  (45 of 71)  |  
A2W41UCOBXCB5W  |  NDBerzerker  |  Grand Forks, ND United States  |  Reviewer ranking: #27,357,693  |  87%  |  (27 of 31)  |  
A24N7UN7HU7SE4  |  Macho Boy  |  Anytown, USA  |  _  |  63%  |  (93 of 148)  |  
A3HN10JTZSEGJ  |  M. Holley  |  _  |  Reviewer ranking: #30,243,620  |  29%  |  (21 of 72)  |  
A2JIRSKHKXHCN2  |  Kindle Customer  |  _  |  Reviewer ranking: #1,090,389  |  42%  |  (18 of 43)  |  
AK13M7VWQH9MM  |  Andrew W. Cooper  |  _  |  Reviewer ranking: #21,525,143  |  33%  |  (2 of 6)  |  
A1UDEN750XOMXQ  |  Debi H  |  oregon  |  Reviewer ranking: #1,430,373  |  100%  |  (4 of 4)  |  
A1NEBHD7NYX1VH  |  squirtsmama  |  Upper Midwest  |  Reviewer ranking: #28,270,648  |  40%  |  (2 of 5)  |  
A15JPT0S7KHYLM  |  Sabrina Wright  |  Deadwood SD  |  Reviewer ranking: #26,353,914  |  _  |  _  |  
A1CC1GXAGWU2MN  |  Alan R. Biggs  |  Canada  |  Reviewer ranking: #25,994,292  |  83%  |  (30 of 36)  |  
A73QPH7NGI0DJ  |  Sean Curley  |  Charlottetown, PE, Canada  |  _  |  89%  |  (2,952 of 3,302)  |  
A1L2CNJJAJBTP5  |  Ron InLasVegas  |  _  |  Reviewer ranking: #163,524  |  91%  |  (80 of 88)  |  
A22M0SEEIIX29K  |  PennyTx  |  _  |  Reviewer ranking: #23,565,251  |  63%  |  (5 of 8)  |  
A1Y9DI3GQB7JF7  |  T.D.Um  |  _  |  Reviewer ranking: #12,841,922  |  33%  |  (2 of 6)  |  
A2B2POM50MVRT3  |  Nishank Khanna  |  NY United States  |  Reviewer ranking: #26,116,882  |  88%  |  (56 of 64)  |  
AJIT88JWE7PNS  |  SundanceMountain  |  Claremont  |  Reviewer ranking: #159,581  |  56%  |  (395 of 709)  |  
A2SYKDUE57HTNX  |  M. Briggs  |  Pardeeville, WI  |  Reviewer ranking: #7,689,243  |  100%  |  (2 of 2)  |  
A2PBDB92U5WIJA  |  Janis Cortese  |  Los Angeles, CA United States  |  _  |  90%  |  (885 of 987)  |  
A2H8HJ2LH75EA  |  Ronn Matlock  |  Mawrietta, GA USA  |  Reviewer ranking: #1,685,932  |  82%  |  (14 of 17)  |  
APTWO7MOKUBAM  |  Tc  |  Maui, HI  |  Reviewer ranking: #6,053,526  |  _  |  _  |  
A2ZT9K1PFBZ1L9  |  Gerald G.  |  Arizona  |  _  |  71%  |  (170 of 240)  |  
A1I86SWTV8P8BJ  |  Gabe P.  |  _  |  Reviewer ranking: #1,504,988  |  74%  |  (28 of 38)  |  
A15CBRXCPZEHOS  |  The Historian  |  Memphis, Tennessee  |  Reviewer ranking: #25,165,247  |  49%  |  (19 of 39)  |  
AX8RUSYJ46S3S  |  Veronica  |  Cheney, WA United States  |  Reviewer ranking: #30,256,813  |  33%  |  (43 of 132)  |  
A30ZN4YJPMZUMM  |  Tara  |  Wyncote, PA USA  |  Reviewer ranking: #21,350,479  |  64%  |  (243 of 379)  |  
A1PBFJBKDVN44A  |  GoMavs37  |  Texas  |  Reviewer ranking: #17,134,740  |  36%  |  (35 of 98)  |  
AV3IMDC3C0F8  |  Amazon Customer  |  Venice, FL USA  |  Reviewer ranking: #6,916,786  |  80%  |  (106 of 133)  |  
A15NW6CPRI5FG2  |  Sarah Hatcher  |  mississippi  |  Reviewer ranking: #26,125,670  |  21%  |  (4 of 19)  |  
A44NJB0FSEEOS  |  Margaret E. Rhem  |  chicago, il  |  Reviewer ranking: #25,423,458  |  100%  |  (2 of 2)  |  
A3V97VJ1JUVZY5  |  Richard Rehbein  |  St. Louis, MO USA  |  Reviewer ranking: #27,874,241  |  89%  |  (8 of 9)  |  
A26BHOPB0S5NEP  |  Yari  |  Jerusalem, Israel  |  Reviewer ranking: #29,256,612  |  32%  |  (72 of 223)  |  
A7Z45O9B1IUQB  |  Alfredo Duque  |  Rancho Cucamonga, California USA  |  Reviewer ranking: #26,983,176  |  70%  |  (26 of 37)  |  
A109ME7C09HM2M  |  Douglas W. Fielder  |  Oceanside, CA United States  |  _  |  70%  |  (86 of 122)  |  
A3HIDWIB519PI4  |  Brigalow  |  Australia  |  Reviewer ranking: #5,313,015  |  90%  |  (93 of 103)  |  
A3F33WJL6BIZIV  |  salsera  |  _  |  Reviewer ranking: #9,227,880  |  67%  |  (6 of 9)  |  
A3OYOMRBR1TNE2  |  Denise  |  Salt Lake City Best Snow on Earth  |  Reviewer ranking: #929,224  |  90%  |  (211 of 235)  |  
A3FU2A91KSXOHZ  |  Luckyone  |  _  |  _  |  67%  |  (234 of 350)  |  
A2RS2UYHXOYN7Q  |  B. S. Miller  |  Tennessee,U.S.blues  |  Reviewer ranking: #27,863,691  |  83%  |  (5 of 6)  |  
A2KO03CAY48YLU  |  nf130  |  _  |  Reviewer ranking: #23,122,511  |  100%  |  (1 of 1)  |  
A14FXEKB1PXTZG  |  Jose Berlin  |  Seattle, WA USA  |  Reviewer ranking: #25,058,927  |  70%  |  (1,049 of 1,504)  |  
A81ORX8533P86  |  David  |  North Carolina, USA  |  Reviewer ranking: #11,124,699  |  50%  |  (1 of 2)  |  
A3VNG772IN3E78  |  A Mully  |  Illinois, USA  |  Reviewer ranking: #385,101  |  98%  |  (39 of 40)  |  
AIJZ7NBIRHRW9  |  Midnight  |  Alabama, United States  |  Reviewer ranking: #200,142  |  84%  |  (77 of 92)  |  
A2W8RHN5H0Y8WU  |  Eric C. Paulsen  |  Wixom, MI USA  |  Reviewer ranking: #27,762,767  |  75%  |  (12 of 16)  |  
A2XSCHK94YC46N  |  Howard Benson  |  Calabasas, CA USA  |  Reviewer ranking: #686,442  |  57%  |  (89 of 156)  |  
A2KY1YZX5IRVKJ  |  Katie  |  _  |  Reviewer ranking: #27,423,324  |  47%  |  (9 of 19)  |  
A27MQ3HW20BJ3W  |  frosty  |  _  |  Reviewer ranking: #608,728  |  60%  |  (21 of 35)  |  
A2QA095LQPDBJD  |  Ariel Escasa  |  the Philippines  |  Reviewer ranking: #6,211,628  |  88%  |  (574 of 654)  |  
AYMA8DXY2KKG7  |  Nick Wagaman  |  Waynesboro, PA USA  |  Reviewer ranking: #27,949,253  |  0%  |  (0 of 6)  |  
A16WFEN2108SOF  |  S. L. Ward  |  Ventura, CA  |  Reviewer ranking: #7,262,061  |  68%  |  (21 of 31)  |  
AWLKT9J7RSGH9  |  M. S. Hill  |  Bowie, MD  |  Reviewer ranking: #2,114,193  |  93%  |  (14 of 15)  |  
A2L4CZ1FWKAZEH  |  Simon P. Chadd  |  Australia  |  _  |  _  |  _  |  
AR7I6YU73WPS5  |  Alex Ferdman  |  west palm beach  |  Reviewer ranking: #30,254,999  |  15%  |  (196 of 1,331)  |  
A15HUJVRXYW65X  |  Kay  |  Brooklyn  |  Reviewer ranking: #1,319,133  |  63%  |  (10 of 16)  |  
A3HW59Y7ZHK43Q  |  Garmonbozia  |  The Northwest, USA  |  _  |  87%  |  (287 of 331)  |  
A28M2N5NCQYQQD  |  Henning Henning  |  _  |  Reviewer ranking: #26,620,460  |  80%  |  (165 of 205)  |  
A1YVIOFKLB5A4L  |  Melissa  |  Houston, Texas  |  Reviewer ranking: #1,086,871  |  82%  |  (18 of 22)  |  
ASHWXRNE2BXI9  |  Jeff  |  North Carolina, USA  |  Reviewer ranking: #28,273,611  |  100%  |  (5 of 5)  |  
A1F438O350Y1IT  |  Pen2010  |  _  |  Reviewer ranking: #24,550,741  |  _  |  _  |  
AI0NW8N818YIL  |  Animallover  |  _  |  Reviewer ranking: #8,509,785  |  85%  |  (11 of 13)  |  
A3BPXWHF4ZZVGP  |  Norm  |  _  |  Reviewer ranking: #9,021,451  |  50%  |  (1 of 2)  |  
A1M4YU02L8WM19  |  K. Christopherson  |  Morenci, AZ  |  Reviewer ranking: #24,224,915  |  71%  |  (10 of 14)  |  
A119SFI280XFVB  |  Jackie C. Mendoza  |  Philippines  |  Reviewer ranking: #28,897,864  |  80%  |  (4 of 5)  |  
AJKEC4TN7PB70  |  Claes Thoren  |  Sweden  |  Reviewer ranking: #28,472,542  |  67%  |  (2 of 3)  |  
A1853EEJYVWG4E  |  ATJ  |  La Jolla, CA United States  |  Reviewer ranking: #28,624,732  |  100%  |  (1 of 1)  |  
A2003D4FSDE140  |  Samantha  |  WI  |  Reviewer ranking: #1,008,859  |  59%  |  (22 of 37)  |  
A35830NKIBM1UY  |  David F. Swartz  |  Hawaii  |  Reviewer ranking: #26,936,938  |  67%  |  (2 of 3)  |  
A3SJ49HK6QV5BD  |  Cherie Pi  |  New Mexico  |  Reviewer ranking: #375,294  |  78%  |  (66 of 85)  |  
AJ7SIUL8QPP5D  |  D. SHARGEL  |  Denver, CO  |  Reviewer ranking: #2,855,203  |  93%  |  (170 of 183)  |  
A176HPVTIMJNNT  |  Edgar LaCombe  |  Upstate New York, USA  |  Reviewer ranking: #110,054  |  89%  |  (168 of 188)  |  
AF65N7IKM9LX7  |  Jody Price  |  Indianapolis, IN United States  |  Reviewer ranking: #29,063,613  |  24%  |  (16 of 66)  |  
AJRNLL93P7444  |  Bill Voelker  |  Livermore, CA USA  |  Reviewer ranking: #28,723,948  |  100%  |  (2 of 2)  |  
AJLBMDDDDM73G  |  Elaine Handcock  |  metairie, la  |  Reviewer ranking: #25,983,908  |  67%  |  (4 of 6)  |  
A159DOIS3KLW2L  |  Karen D. Larry-Moyer  |  Sagamore Hills, OH USA  |  Reviewer ranking: #126,882  |  84%  |  (244 of 290)  |  
A1O4XB2JD9EEHS  |  ROBERT W. MCINNIS JR  |  LEROY, AL United States  |  Reviewer ranking: #28,860,386  |  0%  |  (0 of 3)  |  
A2687AOSMEQJ4N  |  F.M.Brewster  |  ORINDA, CA USA  |  Reviewer ranking: #29,146,348  |  41%  |  (132 of 320)  |  
ADC5UITRY6A1H  |  Joey  |  wisconsin  |  Reviewer ranking: #27,715,391  |  50%  |  (4 of 8)  |  
A17PI6RK5UYHEA  |  V. Barnes  |  _  |  Reviewer ranking: #16,835,661  |  80%  |  (32 of 40)  |  
ADUF3Q1QTQ2LP  |  C. Myers  |  Richmond, Indiana  |  Reviewer ranking: #15,451,176  |  100%  |  (1 of 1)  |  
A3BWCQ0NT62MMY  |  Saint Alia  |  Wheaton, IL USA  |  Reviewer ranking: #18,669,819  |  87%  |  (66 of 76)  |  
A1SKGUS2L0JU8R  |  Some Guy  |  Oslo, Norway  |  Reviewer ranking: #27,059,076  |  62%  |  (8 of 13)  |  
A1EWFJELHASLDU  |  King Kau  |  Seattle  |  Reviewer ranking: #26,042,072  |  40%  |  (6 of 15)  |  
A1PY0DY0KXLTJ9  |  peter pan's baby sis  |  montgomery, al  |  Reviewer ranking: #25,968,327  |  _  |  _  |  
A5FT5SQHOLE2Z  |  Othon Leon  |  _  |  Reviewer ranking: #5,309,331  |  70%  |  (103 of 147)  |  
A1T4E102S8E03H  |  Fifi  |  _  |  Reviewer ranking: #4,728,832  |  74%  |  (14 of 19)  |  
A2MEADFWUUA80F  |  Niles  |  Baltimore, MD, US  |  Reviewer ranking: #30,213,955  |  21%  |  (24 of 116)  |  
A1YNEHV5V7VDEV  |  E. Engblom  |  NY, NY  |  Reviewer ranking: #14,143,965  |  _  |  _  |  
A27FPQIWI6VAI9  |  Martin Prehn  |  DK 2650 Hvidovre Denmark  |  Reviewer ranking: #29,713,336  |  72%  |  (102 of 141)  |  
A2YXZGSOPL3GL6  |  General Martok  |  Ann Arbor  |  Reviewer ranking: #2,497,234  |  78%  |  (188 of 241)  |  
A1HKUHU8RIEKAW  |  darrell amade-vice  |  San Francisco Bay Area  |  Reviewer ranking: #28,627,270  |  100%  |  (14 of 14)  |  
A23CBW97Z89NGA  |  Linley  |  Vermont  |  Reviewer ranking: #27,795,469  |  54%  |  (28 of 52)  |  
A1WB54Z6LOQWGY  |  SagittariusGirL  |  _  |  Reviewer ranking: #26,255,476  |  59%  |  (33 of 56)  |  
AE6SDT5GPOHJQ  |  Victoria V Reid  |  Battle Creek, MI  |  Reviewer ranking: #27,929,599  |  67%  |  (2 of 3)  |  
AMVNNTU6XAME3  |  Horace L. Shivers  |  Trenton. New Jersey.  |  Reviewer ranking: #28,425,225  |  71%  |  (5 of 7)  |  
A1NT4JFFEYNR44  |  B. Smedley  |  USA  |  Reviewer ranking: #29,871,221  |  45%  |  (13 of 29)  |  
A1MP4NG18QD5J  |  Amazon Customer  |  Greenville, SC  USA  |  Reviewer ranking: #585,991  |  93%  |  (380 of 407)  |  
A20MTHGS7P9PYN  |  tinkerbell  |  _  |  Reviewer ranking: #8,942,847  |  100%  |  (2 of 2)  |  
A18AZYPZVG676C  |  Latour07  |  Paris, France  |  Reviewer ranking: #2,349,800  |  57%  |  (133 of 235)  |  
A2KW86N97ZGHJC  |  Amanda R. Lavecchia  |  usa  |  Reviewer ranking: #29,341,245  |  38%  |  (12 of 32)  |  
A14XBRMW16ZRWL  |  Armando  |  _  |  Reviewer ranking: #23,064,469  |  _  |  _  |  
A3D5I93S3KZ10C  |  Francie  |  USA  |  Reviewer ranking: #453,766  |  57%  |  (137 of 241)  |  
A3P5M8EEENDVPC  |  M. Benton  |  PRAIRIEVILLE, LA, US  |  Reviewer ranking: #24,142,585  |  52%  |  (11 of 21)  |  
AVKB4WKSF53AC  |  Mary L. Curtis  |  Eden, NC USA  |  Reviewer ranking: #766,024  |  70%  |  (19 of 27)  |  
A35HRL8YD8R7MV  |  K. Chapin  |  Richmond, VA  |  _  |  85%  |  (203 of 240)  |  
A1TWOK4785F7PQ  |  ajb2222  |  _  |  Reviewer ranking: #1,969,575  |  89%  |  (16 of 18)  |  
A1RSMB207RBS74  |  Sandy H.  |  _  |  Reviewer ranking: #1,281,894  |  82%  |  (28 of 34)  |  
